work_id,title,venue_or_id,date_first_posted,observation,architecture_intervention,pretrained_conversion,target_language,model_scale,token_matched_eval,flop_or_gpu_hour_matched_eval,retention_eval,routing_mechanism_analysis,overlaps_with_us,exact_non_overlap_remaining
NW11,DenseFormer,arXiv:2402.02622,2024-02-04,Information flow across depth is limited by the single residual stream,Depth-weighted averaging (DWA) - learned scalar weights over all previous layer outputs,No - from-scratch,English,Up to ~1B class,Yes,Partial - reports inference/memory cost of DWA,No,Partial - learned depth-weight patterns,Prior art for learned depth aggregation; a reviewer will ask why we do not include it as a condition,Static (input-independent) weights vs our input-dependent routing; no CPT; no non-English; no retention
NW12,DeepCrossAttention (DCA),arXiv:2502.06785,2025-02-10,Residual connections mix layer outputs with fixed weights and cannot select which depths to read,Learned input-dependent combination of previous layer outputs feeding attention Q/K/V,No - from-scratch,English,Up to ~1B class,Yes,Partial,No,Partial,Closest pre-2026 ancestor of input-dependent depth routing,Predates the AttnRes family; no CPT; no non-English; no retention; no compute-matched frontier
NW13,Hyper-Connections,arXiv:2409.19606,2024-09-29,Residual connections trade off gradient vanishing against representation collapse,n parallel residual streams with learned mixing matrices,No - from-scratch,English,Up to ~7B class (LLM and vision),Yes,Partial,No,Partial - stream analysis,Alternative residual-topology family a reviewer will cite as an uncovered baseline,Width-wise multi-stream not depth-wise routing; no CPT; no non-English; no retention
NW14,mHC: Manifold-Constrained Hyper-Connections,arXiv:2512.24880,2025-12-31,Hyper-connection stream mixing is unconstrained and can collapse,Constrain mixing matrices to the Birkhoff polytope via Sinkhorn-Knopp,No - from-scratch,English/general,Frontier scale (DeepSeek line),Yes,Partial,No,Partial - stream collapse analysis,"Spawned a very large 2026 follow-up literature (xHC, Frac-Connections, mHC-lite, TBP-mHC, JPmHC and many more)",Different residual family; no language adaptation; no retention; the whole sub-field is compute-rich from-scratch work
NW15,Typhoon 2,arXiv:2412.13702,2024-12-18,Thai LLMs need targeted data and instruction pipelines,None - CPT of Llama 3 / Qwen2.5 with standard residuals,Yes - CPT from open checkpoints,Thai (+English),1B-70B,Partial,No,Partial - reports English retention qualitatively,No,Sets the Thai CPT engineering baseline and the retention concern we formalise,No architectural variation whatsoever; residual topology is never a variable
NW16,SEA-LION,arXiv:2504.05747,2025-04-08,SEA languages are under-served by multilingual models,None - CPT with standard residuals,Yes,SEA incl. Thai,~1B-8B,Partial,No,Partial,No,Regional CPT baseline and a data source lineage,No architecture study; no routing; no compute-matched architecture comparison
NW17,JAI-1 / OpenJAI-v1.0,arXiv:2510.08620 / arXiv:2510.06847,2025-10-08,Thai-centric LLMs need scale and Thai-first data,None - standard architecture,Yes,Thai,~8B class,Partial,No,Partial,No,Current Thai-centric model-building state of the art,No architecture variable; no residual routing
NW18,Mangosteen: An Open Thai Corpus,arXiv:2507.14664,2025-07-19,Thai pretraining data pipelines are under-documented,None - data contribution,N/A,Thai,N/A,N/A,No,No,No,Candidate Thai data source and the Thai data-quality reference we should cite,Not an architecture study at all
NW19,Motif 3 Technical Report,arXiv:2608.09119,2026-08-10,Frontier MoE design report,Modified manifold-constrained hyper-connections + Grouped Differential Latent Attention,No - from-scratch,Multilingual (unspecified detail),314B total / 13.2B active,No (report),No,No,No,"The ONLY arXiv hit combining the AttnRes/hyper-connection families with multilingual, and it is a model report not a controlled study",Not controlled; not matched; no Thai-specific analysis; no retention; not reproducible at our scale
NW20,Kimi K3: Open Frontier Intelligence,arXiv:2607.24653,2026-07-27,Frontier model report using AttnRes at production scale,AttnRes deployed in a frontier system,Not applicable,Multilingual,Frontier,No,No,No,No,Demonstrates AttnRes is already production-adopted - weakens any I-am-first-to-apply framing,No controlled comparison; no Thai; no compute-matched study at small scale
