source_id,category,title,year,url,license_or_terms,status,note
MIR01,model_mirror,unsloth/Llama-3.2-1B tokenizer mirror,2024,https://huggingface.co/unsloth/Llama-3.2-1B,Llama 3.2 Community License,provisional_unverified_mirror,"USED 2026-08-18 rev 9535bd9b1d1dea6acafbdc4813b728796aeb28da for tokenizer-only screen because meta-llama/Llama-3.2-1B is gated:manual and no HF token exists. Byte-identity vs origin UNVERIFIED. Param total matches origin (1235814400). Re-run screen against origin after access is granted"
MIR02,model_mirror,unsloth/gemma-3-1b-pt tokenizer mirror,2025,https://huggingface.co/unsloth/gemma-3-1b-pt,Gemma Terms of Use,provisional_unverified_mirror,"USED 2026-08-18 rev 34a98bf3eaecc08c699516f625eb5e56e4c5d99d for tokenizer-only screen because google/gemma-3-1b-pt is gated:manual and no HF token exists. Byte-identity vs origin UNVERIFIED. Param total matches origin (999885952)"
TOOL01,code,HuggingFace transformers modeling sources for port audit,2026,https://github.com/huggingface/transformers/tree/v4.57.1/src/transformers/models,Apache-2.0,verified_license,"Pinned tag v4.57.1. Read modeling_llama.py modeling_qwen3.py modeling_gemma3.py modular_olmo2.py to establish residual write points. Qwen2 layer NOT read in this pass"
TOOL02,code,HuggingFace tokenizers library,2026,https://github.com/huggingface/tokenizers,Apache-2.0,verified_license,"Version 0.22.2 used for the frozen tokenizer screen; Tokenizer.from_file on pinned tokenizer.json artifacts"
LIC01,license,Llama 3.2 Community License naming and attribution terms,2024,https://huggingface.co/meta-llama/Llama-3.2-1B,Llama 3.2 Community License,verified_terms,"BLOCKING FINDING 2026-08-18: derivative model names must begin with 'Llama' and display 'Built with Llama'. Deliverable name ThaiLLM-1B-Base would be non-compliant. Model card language list includes th"
LIC02,license,Gemma Terms of Use naming and pass-through terms,2025,https://huggingface.co/google/gemma-3-1b-pt,Gemma Terms of Use,verified_terms,"BLOCKING FINDING 2026-08-18: derivative model names must begin with 'Gemma' and Gemma Terms plus Prohibited Use Policy must be passed to downstream users. Gated:manual (extra_gated_heading present on card)"
BM10,model,Qwen3 1.7B Base,2025,https://huggingface.co/Qwen/Qwen3-1.7B-Base,Apache-2.0,verified_model_card,"SELECTED MAIN BASE 2026-08-19 rev ea980cb0a6c2ae4b936e82123acc929f1cec04c1; 28L d2048 vocab151936 ctx32768; 36T tokens 119 languages; dense decoder; thai 1.838 chars/token; pre-CPT Thai BPB 0.454218"
BM11,model,Gemma 4 E2B,2026,https://huggingface.co/google/gemma-4-E2B,Apache-2.0,verified_model_card,"CHALLENGER NOT SELECTED rev d29ff6b4; thai 2.8326 chars/token (ดีกว่า 54%) แต่ MatFormer + per-layer embeddings + audio/vision และไม่มีใน transformers release ใด ๆ (git main เท่านั้น)"
BM12,model,Qwen3 4B Base,2025,https://huggingface.co/Qwen/Qwen3-4B-Base,Apache-2.0,verified_model_card,"SCALE-UP PATH; tokenizer byte-identical กับ Qwen3-1.7B; ใช้ได้โดยไม่ต้อง re-engineer"
REF01,model,Sailor2 1B as Thai-CPT reference,2025,https://huggingface.co/sail/Sailor2-1B,Apache-2.0,verified_model_card,"HEADROOM REFERENCE: Qwen2.5-0.5B ขยายเป็น 988M + CPT 500B tokens 15 ภาษา; pre-CPT Thai BPB 0.378051 = ดีกว่า base เรา 16.8% ทั้งที่เล็กกว่า 42%"
TH05,paper,Sailor2 Sailing in South-East Asia with Inclusive Multilingual LLMs,2025,https://arxiv.org/abs/2502.12982,paper public,verified_paper,ที่มาของ REF01; block expansion แบบ LlamaPro
TOOL03,tool,lm-evaluation-harness,2026,https://github.com/EleutherAI/lm-evaluation-harness,MIT,pending_install,"ยังไม่ติดตั้ง; ต้อง pin commit sha และบันทึกในทุก run record"
